kenya,68,JKedaha,2,500,Tue Sep 06 17:06:34 +0000 2011,882,369033845,False,"Radio and Sound Producer,Technical/Production Manager-Hope FM(Kenya)
Facebook:Jackson Kedaha Michael
jacksonkedaha@yahoo.com"
SNV DR Congo,39,ycherman,10,108,Thu Feb 09 11:55:10 +0000 2012,56,487470375,False,YIVA is a development practitioner with keen interests in agricultural value chain developments.
,0,wuodomedo,0,6,Mon Apr 07 04:38:14 +0000 2014,0,2466531021,False,
Nairobi-Kenya,39,AnaloPat,2,178,Mon Sep 23 15:52:11 +0000 2013,10,1897703107,True,
"Nairobi, Kenya",625,JacqueNdanu,34,612,Thu May 24 16:38:59 +0000 2012,5758,589252049,True,"Journalist,voice over artist, student and above all I love the Lord, He is my strength. (Heaven inborn) DESTINED FOR GREATNESS."
"kerugoya, kenya",820,izzobratha,64,845,Mon Feb 13 14:02:43 +0000 2012,1476,491312716,False,God Fearing||A Kenyan||ArsenalGunner||Procurement Graduate||Rotaractor
"Nairobi,Kenya",233,OliveAmI,92,766,Sun Jul 22 07:20:35 +0000 2012,3175,710280325,True,"#ONEDROP
#HipHopHalisi
#Teamdancehall
#MUFC
#Sagittarius"
,4,twalib_bayu,0,11,Mon Sep 16 13:54:07 +0000 2013,9,1871756900,False,
"Nairobi, Kenya",77,Leoudzile,10,305,Wed Mar 24 13:04:41 +0000 2010,192,125974430,True,"Enthusiastic and patriotic Kenyan Serving the public, Nairobi"
"Kasarani, Nairobi",5,CateKahiu,1,83,Wed Aug 28 08:56:40 +0000 2013,10,1706791219,True,student at KUSOL
Kanto.,87,tafatron,96,483,Tue Sep 06 20:21:09 +0000 2011,2105,369123783,False,"Avid Arsenal supporter, beard grower, hadouken thrower, LoTR extra and milkshake-boy-to-the-yard-bringer."
Dar-es-salaam ,292,ruthshizzle,116,292,Mon Jul 19 09:42:37 +0000 2010,5838,168439355,False,TWITTER ADDICT |MUFC |HIP-HOP JUNKIE |TEAM MORALS
"Nairobi,Kenya",9,CKahagu,11,103,Fri Jan 20 19:10:40 +0000 2012,57,469579515,True,With God everything is possible
"nairobi, kenya",40,timoo_timozinh,7,83,Fri Nov 04 16:59:13 +0000 2011,291,404954874,True,am cul guy. i talk less & do less about zing 30 dont concern me alot. i party o 9t long & sleep da whole day.
+254 Kenya,858,RatchetMartin,109,1100,Thu Oct 06 06:43:27 +0000 2011,9440,385835839,False,"The Homies say am the truest, The Bitches think am cutest, the defination of coolest #teamhighlife #TEAMmiamHEAT #teamgreen #teamArsenal #GNATION"
Nairobi,275,Modahir,25,328,Mon Aug 17 06:55:34 +0000 2009,317,66298739,True,Africa Producer/Cameraman for @ITV News. Retweets aren't endorsements... http://www.itv.com/news/
"My City, My Town",382,shanicolette,7,590,Tue Feb 14 07:36:45 +0000 2012,3137,491999987,False,"A Girl with a Mind, A Lady with Class, A Ratchet Bitch with an Attitude! 
#ManUnited 
#Virgo
#Instagram @betty_colette
#Facebook}Beyttie Colette Shani"
,10,phorstine,25,73,Fri Nov 05 18:21:55 +0000 2010,40,212306385,False,
NYC,272,WanjiraL,570,857,Fri Feb 11 17:25:17 +0000 2011,3533,250720349,False,There's something to be said about keeping some kind of mystery in a world that feeds on exposition.                                  Instagram: wanluv
Basingstoke,571,JackieWills_,1838,461,Fri Aug 07 20:45:22 +0000 2009,28047,63822160,False,"Kenyan ☺.               
Insta - jackiewills_"
Netherlands,174,michielmeijers,3,230,Wed Aug 12 14:26:51 +0000 2009,718,65049510,False,"Love to meet new people, learn new software techniques, play new songs, visit new places, and have fun doing it."
"Nairobi, KENYA",59,bobwaithaka,3,79,Thu Dec 09 14:49:55 +0000 2010,396,224654226,True,"I move forward, the only direction. Opening new doors, and doing new things, because i'm curious and curiosity keeps leading me down new paths."
|Two-5-Four |020|,115,Mwananishi,210,101,Tue Sep 22 12:10:50 +0000 2009,3883,76316161,False,|TeamArsenalToTheBone|Degradable|CEH|     |#Chmod700|
Nairobi,209,Arongoey,121,176,Fri Nov 27 14:39:41 +0000 2009,7832,92980680,True,|Chess player| | #RugbyFan| I got no bounderies to hustle.|Field Assistant @WaridiEvents #TeamTaurus #TeamRocknRoll
Ajman UAE,204,hamaccocompany,2,677,Mon Apr 15 09:11:20 +0000 2013,67,1353909463,False,
,31,AbuyaJeff,2,232,Wed Sep 15 18:31:43 +0000 2010,127,191147721,False,
Kenya,95,Briloch,2,95,Wed Nov 25 06:09:07 +0000 2009,1827,92460166,False,"Hated by many, wanted by plenty, disliked by some, confronted by none."
nairobi,24,GathogoJm,11,227,Sat Jun 11 16:04:01 +0000 2011,98,315276889,True,Law abiding citizen.
Nairobi,3,wanyekijack,0,0,Mon Mar 14 04:56:20 +0000 2011,5,265802964,True,
,1,faithdoreennak,0,11,Thu May 02 13:01:00 +0000 2013,7,1397126868,False,
kenya,172,NkathaLeah,6,184,Fri Jul 13 18:28:16 +0000 2012,1152,634773703,False,[ student| Economics| University of Nairobi- @uonbi| Thika-Kenya | [Quote:life is what you make it]
"Johannesburg, Gauteng",1127,bheks_n,4,697,Wed Jan 28 17:44:36 +0000 2009,3136,19664349,False,We must use time wisely and forever realize that the time is always ripe to do right. Nelson Mandela
"Nairobi,Kenya",40,jshikuku,15,101,Tue Nov 27 20:47:38 +0000 2012,158,974677994,True,"IT Specialist,Farmer,politician in the making"
,26,BhakarMusa,6,218,Fri Aug 26 01:06:38 +0000 2011,40,362206930,False,
Nairobi ,144,kegsphelo,24,132,Mon Nov 14 07:57:32 +0000 2011,3568,412093699,True,mkono sticky chali stingy
Evanstonia,191,audreypcheng,195,231,Sun Sep 12 23:49:09 +0000 2010,3000,190056528,False,Northwestern '15. Previously @CNBCFastMoney and @1871Chicago | You can easily judge the character of a man by how he treats those who can do nothing for him.
Nairobi,3,teddyagayi,2,42,Fri Sep 20 15:07:54 +0000 2013,1,1886860075,True,Businessman@Tecoma suppliers and a very loving.
,18,KenKRonoh,8,254,Sun Sep 22 15:10:53 +0000 2013,14,1894070918,False,
Nairobi,27,pacifikb,1,295,Sat Jan 04 17:53:42 +0000 2014,19,2262287511,True,gospel singer
,0,hussein72944384,0,0,Mon Apr 07 17:55:02 +0000 2014,1,2467838776,False,
nairobi,44,joseeejoe,8,162,Mon Mar 14 12:26:47 +0000 2011,136,265965755,True,
,24,simeonlesrima,3,43,Sun Oct 23 17:49:59 +0000 2011,65,396726893,False,
"south b, nairobi",1,punjubrian,1,16,Wed Mar 12 15:39:25 +0000 2014,6,2405117177,True,stay young n live life
,5,wahiga_janet,0,47,Fri Mar 21 03:53:58 +0000 2014,9,2426100676,False,student/daughter/lover/always smile no matter what yo goin thru in life
,1,kiragukennedy,0,28,Fri Mar 28 20:22:50 +0000 2014,6,2442825479,False,
kenya,93,marc_gourdin,7,141,Tue Oct 09 10:47:55 +0000 2012,107,869659327,False,Hodgy got the juice i got the gin jasper got the henny ma nigga we get it in !
"Svendborg, Denmark",87,dgwhit,14,249,Wed Sep 07 12:22:38 +0000 2011,254,369471929,False,The years teach us what the days never knew. The only advantage of age...
Nairobi,16,KiamaLiz,3,132,Fri Mar 01 13:11:23 +0000 2013,28,1229797952,True,Authentic
Mombasa ,20,chys21,2,134,Tue Oct 26 03:07:09 +0000 2010,69,207825529,False,cool n chiled
Dubai / Glasgow ,380,finlaymlaura,770,212,Sat Jun 06 12:24:23 +0000 2009,4876,45119601,False,Fearless...
"Colville, WA ",960,JadaSerrano3,2418,941,Sun Sep 15 21:27:07 +0000 2013,10884,1869237528,False,What worries you masters you. Haddon W. Robinson
Bordeaux,665,arnowebmaster,1085,658,Wed May 09 13:04:06 +0000 2012,5537,575417340,False,Développeur web et passioné de la marque aux 3 bandes
,45,OnyangoGriffin,2,444,Tue Apr 12 20:09:42 +0000 2011,11,281183455,False,
"Nairobi,Kenya",1696,Marshallbandito,120,1956,Sat Jan 23 21:43:01 +0000 2010,2139,107823839,True,"Just a Man trying daily to BE
the light I already am and
desiring deeply to see the light
in you. #WierdGemini"
,105,Mluhya,2,98,Tue Jul 28 09:33:56 +0000 2009,16,60860574,False,
Barcelona,603,ColinMcElwee,19,532,Fri Mar 27 09:12:24 +0000 2009,2899,26975189,False,"Co-Founder Worldreader, father of two girls, living in Barcelona and working throughout Africa and other emerging regions of the world @worldreaders"
"ÜT: 9.054983,7.487021",327,flawlessbio,4,401,Sat Aug 29 14:52:43 +0000 2009,4061,69883054,False,"IT professional, Systems analyst, web solutions specialist and software developer."
kenya,41,simply_salem,91,151,Fri Jan 06 21:20:31 +0000 2012,484,456952616,False,"Liverpool die hard 4.0 fan YNWA, anime pundit, rugby lover & QS in the making+ old skool hip hop"
Nairobi Kenya,32,Kelvin_Tonkei,0,246,Sat Apr 05 15:22:55 +0000 2014,28,2462638745,True,Baby Daddy
"Lusaka, Zambia",5326,ictjournalist,41,5663,Tue Nov 25 10:43:34 +0000 2008,6834,17616943,False,"I am a Journalist specialised in reporting on Information communication technologies for development (ICT4D), social, science, agriculture and gender issues."
Nairobi,49,charodavid,0,290,Mon Oct 29 17:05:00 +0000 2012,7,912838364,True,
Nairobi,251,ehis_bay101,9,649,Tue Dec 20 14:59:22 +0000 2011,1234,441905925,True,#TGOD#
,112,victor_shiwani,6,341,Sun Sep 25 09:31:30 +0000 2011,1560,379644338,False,loves Afro house music and kwaito
Cape Town ,124,Tracy_Langdon,12,132,Mon Aug 31 17:10:22 +0000 2009,247,70443937,False,Specialist in Strategy & Product development for mobile  - Managing Director of  Resolve Mobile
Gaborone,50,pc_phenyo,99,168,Wed Mar 13 09:52:33 +0000 2013,440,1264059349,False,Click Follow Cos I Follow Back
Nairobi,3,senior_vincent,0,27,Mon Jul 15 03:39:09 +0000 2013,6,1594913233,True,born in nyamira county by mr benard omwega and mrs teresia bochaberi
Tanzania,331,belz_beauty,73,451,Sat Feb 26 11:18:51 +0000 2011,11063,257869960,False,"laugh, love and live"
Nairobi,12,DennisKitavi,5,148,Fri Aug 05 09:54:51 +0000 2011,245,348979375,True,I was born 6000days $ nites ago at KAMBAland
,1,robbertobarros,0,26,Mon Apr 07 10:29:35 +0000 2014,7,2467079290,False,
Konza - Kitengela - Nairobi,1810,MissBiskweet,63,217,Wed Aug 19 10:45:36 +0000 2009,87259,66968414,True,Proud new mom | I make mistakes so others may learn | Still trying to figure out what my purpose in life is | That hip farmer |
Nairobi,45,kipkemoi_kurui,0,123,Thu Jun 07 08:48:26 +0000 2012,448,601776147,True,Messenger or a Master of God's Plans. Baptized by Marcus Garvey Sweat.Shared the blood of Malcom X and ready to deliver the undelivered.
Nairobi,113,emrukunga,2,320,Fri Oct 01 03:35:15 +0000 2010,158,197296170,True,
Nairobi-Ngong-Nyamira cty,1788,maccoscyrus,53,1434,Sun Jan 13 14:09:52 +0000 2013,20629,1086224185,True,Husband of 1. Dad of 1.
,0,youngjobu62,0,24,Tue Apr 08 11:03:03 +0000 2014,1,2469330592,False,
sudan,10,AdelKarma,18,35,Fri Nov 25 16:36:31 +0000 2011,142,421193524,False,
NAIROBI CITY,32,osieyo,0,203,Thu Jan 20 18:03:56 +0000 2011,298,240767482,True,"A man who likes making fan to his/her friends,bringing all the people 2gether & GOD fearing to"
,142,jameswamaina,127,175,Sun May 12 12:17:23 +0000 2013,891,1423019125,False,Am an Arrogant Baller
,38,Farahstromae,12,57,Mon Mar 05 19:32:42 +0000 2012,179,515786562,False,Those are my niggers
Nairobi,60,SM_Clarine,19,98,Thu Aug 30 07:50:27 +0000 2012,1090,791080621,True,you never know you are running out of time till you find it is too late
Nairobi,418,PrincessHDL,22,319,Thu Jun 09 23:41:13 +0000 2011,11736,314256486,True,
"Nairobi, Kenya",5117,SadiaOfficial,2283,450,Fri May 21 16:19:47 +0000 2010,54105,146509277,True,"Director (NBO) @GreenBreakfast | Marketing/PR @KenyaNights | Copywriter, Producer & Radio Presenter @EastFMKenya | Views are my own & RT's aren't endorsements"
"Nairobi South,Kenya",10,DennoRetard,1,84,Tue Jan 03 10:21:17 +0000 2012,48,453840484,True,Cz am jiggy like that.. 8-)
Nairobi,11,obearian,3,20,Sun Jan 17 21:28:11 +0000 2010,111,105896871,True,
"Mombasa, Kenya",111,SheilaNzisa,7,472,Wed Feb 05 20:13:01 +0000 2014,72,2326659687,False,Live the Life you Love...
,7,HaierKe,0,14,Tue Apr 08 10:48:58 +0000 2014,0,2433433399,False,"World's no 1 refrigeration brand, haier now available in Kenya. Superior quality, innovation and 4 year warranty."
,3,KipropBett2,1,50,Mon Nov 11 20:17:38 +0000 2013,6,2177307088,False,
,98,libsgracexox,457,393,Sat Nov 16 07:02:12 +0000 2013,375,2197255868,False,"Directioner, Hollander, Mayniac and more I Follow Back!                                                  instagram: @libbygracexox"
"Glasgow, UK",583,PujaPoddar,1373,1267,Mon Oct 12 01:30:38 +0000 2009,3955,81730881,False,
"Nairobi, Kenya",4809,nkihenia,12,710,Wed Feb 18 06:49:28 +0000 2009,4061,21175591,True,"Love to talk, write and critic!! Creating concepts is what I was born to do!! My tweets , my views!!"
nairobi,22,njar_gee,1,106,Thu Apr 26 07:01:35 +0000 2012,71,563508284,True,a day at a time
,136,GithuiAnne,185,634,Thu Apr 25 15:08:05 +0000 2013,217,1379673326,False,
,0,unyaulemia,0,0,Tue Apr 08 17:20:27 +0000 2014,1,2469970883,False,
"nairobi,kenya",0,joshuamuriuki88,5,19,Fri Apr 04 18:53:03 +0000 2014,3,2460591489,True,making friends
"Nairobi,Kenya.",16,shadrackmusyoka,1,99,Wed Jun 15 11:58:49 +0000 2011,139,317738226,True,"Outgoing,social and kind.Born Nov. 4th."
,7,Mwashashu,3,35,Sat Jan 25 08:32:52 +0000 2014,14,2309658392,False,https://twitter.com/ some day I will be great
Nairobi,30,Anyanza,11,80,Mon Feb 25 08:34:39 +0000 2013,272,1217677933,True,Baller
kenya,91,NonnieShiqo,20,247,Wed May 30 08:30:17 +0000 2012,558,594422321,False,"cool,smart n smiley:-)"
Kenya ,142,HillyMakori,80,257,Sun Dec 06 10:27:32 +0000 2009,3352,94975291,False,Lover of life|0% inefficient|Strategist|Finance Specialist |son|Team Chelsea|I love being happy thats why they called me Hilary! ;-)
nairobi kenya,4,morehermed,5,48,Wed Dec 15 01:57:50 +0000 2010,7,226780801,True,
Currently based in Kenya,18,brad_kenya,3,217,Sun Feb 24 17:43:51 +0000 2013,79,1216125325,False,"Former UK Civil Servant, currently working for Adam Smith International as Project Manager for The Somalia Stability Fund. All views my own."
,0,rosemuturo,0,4,Tue Mar 11 20:15:41 +0000 2014,1,2403024664,False,
Nairobi,126,Keivnn,162,346,Fri Sep 04 13:32:46 +0000 2009,352,71535088,True,Soundtrack of my life.. quietly played loud.
Satellite Beach,18,Victorxfiles2,4,144,Wed Oct 13 06:47:21 +0000 2010,230,202066803,False,Good Cvs more to come
,84,LA2MISS,7,114,Fri Jan 07 22:31:35 +0000 2011,455,235325492,False,
London,135,DanielFLondon,22,555,Sat Apr 10 21:14:48 +0000 2010,739,131627115,False,"Dad of two.  M.D. of Leftfield, Labour Party man. Loves: athletics, pubs, cauliflower. Hates: picnics, butternut squash, BBQs"
,0,MwanzaEunice,0,0,Wed Oct 16 12:58:48 +0000 2013,2,1964736494,False,
,811,97_Fiona_Jayne,1969,1347,Sun Dec 18 18:50:47 +0000 2011,13626,440235341,False,Sam❤️
Mombasa,127,ballerjeruman,70,401,Mon Jun 21 13:35:26 +0000 2010,656,157998745,False,RAMADHAN JERUMAN IS A SHOOTING GUARD WITH CAPABILITY OF PLAYING POIINT GUARD....HE IS CONCIDERED AS A COMPLETE YOUNG ATHLETE
"Bryanston,  Johannesburg",551,HlubiSA,263,240,Fri Jul 10 06:48:24 +0000 2009,16152,55494095,False,"Afrikan in love with all things Afrikan. More importantly though, I'm Bhu's dad...and an Orlando Pirates & Arsenal Die hard."
nAi tOwN,566,IamBplaN,17,591,Mon Apr 26 21:43:45 +0000 2010,6804,137477811,False,A-1 credit
MONGOLIA,56,davutdur,31,94,Tue Sep 11 08:32:06 +0000 2012,893,816986143,False,"ben haşhaşin, virüs, sülük... değilim"
nairobi,31,bevthebrand,2,71,Mon May 31 14:47:20 +0000 2010,16,150278519,True,"Daughter.Sister.Friend.Chef.Vocalist.Realist.
Entrepreneur and child of the King!"
"Dar es Salaam, Tanzania",660,NishaLigon,788,1005,Fri Oct 24 23:10:05 +0000 2008,2779,16958719,False,"co-founder #socent @UBONGOtz: #African edutainment. media maker, escaped scientist, footballer & honorary mzaramo. #ict4e #edtech http://www.ubongokids.com"
Kisumu,43,Bookerotieno,10,388,Wed Dec 12 09:42:26 +0000 2012,487,1005978374,False,A good hardworking kenyan striving from nothing to something
"Nairobi, Kenya",143,ncaroljoyce,33,817,Tue Sep 13 20:00:27 +0000 2011,1105,372991270,True,"A VERY VERY HAPPY FAMILY OF DAD, MUM & TOTO."
,11,satetwa,10,82,Wed Sep 25 15:51:30 +0000 2013,9,1904647754,False,
Nairobi,42,Eduu254,57,181,Thu Feb 03 20:36:44 +0000 2011,308,246965509,True,"3words... Live , Fuck , Die. Too much ? Well FUCK YOU AND YOUR PEOPLE."
,1053,my_lazy_ass,99,1156,Mon Aug 15 06:55:38 +0000 2011,9301,355358938,False,| cryptic | wine | coffee |
Nairobi ,9,wilsonkonditi,1,69,Tue Jul 20 11:30:32 +0000 2010,13,168625299,True,
Kenya,31,HadithiAfrika,1,50,Wed Nov 27 06:20:06 +0000 2013,51,2217273661,False,To create an enabling environment for Human Development through communication interventions
Gaborone,1309,Shawn_BW,875,373,Wed Sep 16 10:52:58 +0000 2009,94749,74703137,False,"house is my life, #teamUnited, BDP diehard, Audi is my baby, Extreme gamer, a tweet freak, aggressive, freak in bed, rare to find.."
"ÜT: -1.3102478,36.8263315",150,bachu_yazmine,20,220,Fri Jun 22 04:59:31 +0000 2012,409,614863808,False,
Nairobi,182,mmmakau,4,623,Sat Apr 25 14:52:16 +0000 2009,238,35227070,True,"Veterinarian l Kenyan l Afro-Optimist | finance |                        
#agribusiness"
Nairobi ,0,GichiaMburu,2,7,Sat Jul 07 09:36:53 +0000 2012,3,629261025,True,
Africa,9,Carrenmoore,0,31,Wed Jul 20 09:35:01 +0000 2011,8,338927772,False,"Beautiful, Outgoing, adventurous and vivacious lady.
Lets tweet"
Bermuda Circle,412,talihomz,33,476,Tue Apr 14 11:29:51 +0000 2009,8719,31101744,False,"tall, dark, handsome and Incredible® ;) | Developer at Talicraft Solutions @talicraft | tech lover | crazy but funny | guided by the Lord, inspired by MADNESS"
"Nairobi,kenya",2,JMboga,1,42,Sat Aug 04 11:28:27 +0000 2012,123,736576394,True,Blogger
kabete central kenya,6,josphatnjoroge9,2,158,Sun Mar 03 08:30:09 +0000 2013,10,1238324630,False,
Fox River State Penitentiary,305,Izakiz_,841,672,Thu Mar 18 18:00:31 +0000 2010,4686,124229997,False,"Tall Midget 
 


| Food | Music | Football |
* in that order *


A #mufc zealot & a super introvert too so LEAVE ME ALONE !!"
,347,jamzai8,49,506,Tue Jan 05 14:41:43 +0000 2010,1092,102077821,False,Without that little voice in your head you wouldn't be able to read this......#footballfanatic ...click follow now
Nairobi/London/Rome,431,whatktdoes,57,427,Fri Nov 28 06:32:37 +0000 2008,2623,17701374,True,"culture and inspiring slum stuff observer, life & politics tweeter, sometimes photographer/filmmaker"
Kuala Lumpur,59,Shakir___,9,121,Sun Apr 26 12:59:26 +0000 2009,402,35459606,False,
,8,wainainajoseh,1,48,Fri Jan 24 08:09:02 +0000 2014,15,2307960090,False,am young
Amsterdam,91,FREEMarchitects,3,209,Sat Mar 24 15:00:08 +0000 2012,82,535417424,False,Strategisch architectenbureau | Naomi Hoogervorst & open netwerk | scenario ontwerp | herbestemming | particulier opdrachtgeverschap | placemaking
"langata,nairobi,kenya",2,krishnaa254,1,44,Tue Mar 04 20:28:39 +0000 2014,4,2372358271,True,"Cute,friendly,loving,patient,under standing and a the best boy friend ever B-)"
Nairobi Kenya +254,1073,SintaSintamei,294,948,Fri Feb 22 19:26:23 +0000 2013,2883,1209584653,True,ARSENAL till i rot!  By one name SintaSintamei  The difference between pizza and your opinion is that I asked for pizza!!!!!!!!!!
,173,sharath_sri,4,150,Fri Jan 16 13:57:44 +0000 2009,74,19067147,False,
Nairobi kenya,81,giddymutai,81,207,Tue May 10 13:40:34 +0000 2011,197,296268699,True,doing my best to achieve my dream
"Washington, DC",1231,motaroki,51,1908,Sat Feb 07 01:48:06 +0000 2009,1749,20288474,False,"Founder @africanscholar, @afrbusinesswire, @politicsafrica, @jamati, Clean Tech Evangelist @GreenCipher                                        VP @Stigmergetics"
kiambu ma$$ive,36,AJahvinci,12,551,Thu Oct 27 16:28:36 +0000 2011,166,399517805,False,
,0,wmuchunu,0,1,Wed Apr 09 10:37:02 +0000 2014,1,2471404733,False,
Beautiful NAIROBI,185,ACunningham2013,1,1281,Sun May 13 20:57:05 +0000 2012,151,579283357,True,"Mama Inti & Willie, In love with BLUE sky of Nairobi & Kampala @FordFoundation Advocate of Investing in Transformation for Women and Girls. Tweets are my own"
Nairobi,54,smwinzi,27,98,Mon Aug 24 14:54:09 +0000 2009,257,68425124,True,March 11
"Woodlands, Lusaka ",953,Hardy_LS,61,616,Sat Jan 08 18:32:59 +0000 2011,28722,235639852,False,"#TeamManchesterUnited
#ProudlyZambian"
Nairobi,45,njerudeee,14,151,Tue Jun 21 20:47:08 +0000 2011,814,321599623,True,Time to show you the most kick ass flow in the cosmos
NAIROBI,45,DJHesbonjucicx,1,259,Thu Mar 22 19:59:26 +0000 2012,294,533445053,True,HIGH GRADE INNA ME HEADER. I SEH KUSH INNA ME HEADER.
"Kampala,Uganda",2834,KashaJacqueline,475,1072,Sun Dec 12 20:17:33 +0000 2010,1803,225917322,False,Official acc for Ugandan Queer Feminist activist and Human rights defender.Focus on Gender n LGBT Rights. MEA2011 & INHR2013 Awards.
Nairobi / Mombasa,21,karamalzaman,3,56,Wed Sep 23 08:05:42 +0000 2009,124,76590772,True,Software Chief Engineer
"Karen,Nairobi °•- KENYA",248,BK_Olande,29,246,Sat Apr 03 09:22:54 +0000 2010,6219,129145066,True,"Aviation is my wife. 
 Rugby is my mistress. 
  Boeing777 is my lover ;)
#Avgeek

| #AboveAverage |"
Kenya,153,HisHighnness,49,207,Sun Apr 26 19:20:54 +0000 2009,4444,35539866,False,"✧✧✧... Everyone has a life, I have mine too...♢♢♢
|Made of Manchester #MUFC|"
"Nairobi, Kenya.",15,bmasini,0,32,Sat Oct 30 20:25:21 +0000 2010,8,210197241,True,
NAIROBI,542,bernardtubei,2,2015,Wed Feb 02 07:47:30 +0000 2011,1601,246160450,True,Marketing Manager with a zeal to succeed/ Group Business Insurance/ Participatory & Interactive Leader/ Team Player/ Electronic and computer engineer/KOT /
Nairobi Kenya,29,annjoro,97,47,Thu Aug 04 11:24:01 +0000 2011,93,348407322,True,"Fashion is all me,,, ''do not follow where the path may lead. Go instead where there is no path and leave a trail.''"
#izmir,306,emreterok,922,751,Thu Jun 04 23:21:49 +0000 2009,1613,44758519,False,#izmir #ankara #eskisehir #travel #backpack #groove #reggae #triphop #soul #dub #riddim #beer #ale  #asia #balkan #gypsy #gypsyjazz #gezi #grandma
USA,452,exportr,14,1238,Tue Nov 10 19:03:53 +0000 2009,4921,88996228,False,Sea shipping services from USA. visit us at http://www.exportslogistics.com
"Juja RD, Nairobi",45,leptacommunity,1,43,Thu Aug 27 13:41:13 +0000 2009,271,69292881,True,"God centered life + Empowered life + Community = Leadership

Two questions define us as a community:
1) What do you have?
2) How are you using to Serve?"
,9,DMwanyama,0,142,Sun Apr 06 19:30:17 +0000 2014,7,2465597879,False,
Nairobi,140,BenjaEricko,3,335,Thu May 10 19:06:39 +0000 2012,82,576489958,True,
,1,fkatuku2030,0,31,Tue Apr 01 18:20:56 +0000 2014,3,2422489687,False,
Nairobi,1948,Abu_okaalo,41,2099,Sun Dec 18 17:37:37 +0000 2011,5783,440184478,True,"+254an||Brother to my sister||brother to my brother||
Music Jocker.
Programmer||sarcastic||single||serial||male."
Sub-Saharan Africa,201,ADSKafrica,0,484,Fri Apr 29 09:55:13 +0000 2011,260,289852862,False,Imagine. Design. Create. Autodesk software enabling incredible innovation and unleashing Africa’s potential. Join us!
Nairobi,54,kariukimuhoro,2,201,Tue May 03 11:59:08 +0000 2011,30,292281523,True,In nothing do men more nearly approach the gods than in giving health to fellow men so if I can I will help.
UK,612,acdarby,53,1030,Thu Jan 22 09:19:06 +0000 2009,853,19332174,False,"Genome Scientist: Biologist interests Symbionts,  Entomology oh yes and genomes!"
the world,164,kingsley_litali,13,511,Fri Jan 24 11:07:51 +0000 2014,209,2301257961,False,at my best even in my worst experiences
Nairobi,61,tahjphotography,1,103,Tue Dec 25 22:32:37 +0000 2012,75,1035756230,True,A thousand words are not enough
London,287,manifestovstech,2,618,Sat Aug 18 10:01:33 +0000 2012,659,765440048,False,"We are Manifesto.  Founded in 2011 by three former colleagues aiming to make the company they’d like to work for. We do ideas, design and code e.g. #dryathlon"
Nairobi,14,ACATECH2006,2,52,Wed Nov 17 09:40:22 +0000 2010,11,216639265,True,"mathematics and physics tutor
in Nairobi
e-learning expert"
kenya,166,OngwenMartin,47,452,Tue Jan 17 15:25:47 +0000 2012,1320,466579764,False,"physiotherapist#musculoskeletal specialist#BASKETBALL# Health, Wellness and Fitness Professional, Sports. +254721503830"
Kenya,28,jacobmanyara,2,206,Tue Nov 27 12:07:01 +0000 2012,58,973778905,False,I make a thousand kicks at once and not one kick a thousand times.
,0,sngigi80,0,4,Thu Apr 03 06:33:02 +0000 2014,2,2425156962,False,
Earth,205,GitongaMugo,23,135,Fri Jun 26 09:59:33 +0000 2009,4722,50998704,False,Believer of Christ | Jesus is my Lord & Saviour | Entrepreneur | Enjoys a good Laugh-Movie-Company |
Kenya,70,WinstoneC,4,58,Fri May 13 13:51:40 +0000 2011,300,297997526,False,blessed!
Nairobi Kenya,720,dicoz_kalito,95,613,Wed Sep 07 01:44:56 +0000 2011,8006,369258804,True,I'm so cool even I want to be me|My mind is living on cloud 9 and this 9 is never on vacation.
Gweng',31,ullneverguezzhu,37,71,Mon Apr 12 11:05:34 +0000 2010,681,132133130,False,Spontaneous with great love for automobiles and sights. I love my relationship with God!!!
nairobi,62,bonie_flyguy,15,192,Thu Jan 26 15:28:44 +0000 2012,259,474991399,True,i know what i want
kahawa west,154,Keynley,104,391,Tue Feb 07 18:08:14 +0000 2012,2816,485903243,False,"I am a comedian.
SO"
,0,felixdan23,0,1,Thu Apr 10 09:19:28 +0000 2014,6,2473568579,False,
UK/Kenya,128,Namdiru,630,373,Sun Jan 16 17:14:56 +0000 2011,4093,239037868,False,"Does replace a diary, sort of....."
Kenya,336,JKingare,55,395,Wed Nov 23 12:55:34 +0000 2011,1519,419512050,False,"Leadership | Graphics | Design | MusiQ| Gooner | Events

#RiseAboveAll"
,19,beste1jani,1,92,Wed Mar 23 05:35:52 +0000 2011,44,270750368,False,
"ÜT: 6.570459,3.3338057",37,Sleekysleeks,3,50,Tue May 04 03:49:33 +0000 2010,280,139946983,False,
"Kampala , Uganda .",1669,SamsungMobileUg,211,308,Fri Jul 06 08:46:48 +0000 2012,3288,628196042,False,The Official Samsung Mobile Uganda Twitter Account . TOLL FREE Customer Service number : 0800 300 300 .
@145,721,who_rox,164,997,Sat Sep 05 16:02:14 +0000 2009,17382,71831678,False,Biological- That's all you need to know!  Alcapone's Dealer & Homeboy.
,77,tugumisirizelnn,8,509,Sat Apr 13 12:11:38 +0000 2013,50,1349068986,False,
,17,MasakiPolycarp,40,160,Thu Nov 01 19:25:03 +0000 2012,157,919705669,False,
Nairobi,1,belt_dan,0,1,Tue Jan 07 18:17:44 +0000 2014,1,2280992323,True,
